name,category
http://bio2rdf.org/drugbank:DB00674,Nootropic-Agents
http://bio2rdf.org/drugbank:DB00674,Cholinesterase-Inhibitors
http://bio2rdf.org/drugbank:DB00674,Parasympathomimetics
http://bio2rdf.org/drugbank:DB01199,Neuromuscular-Nondepolarizing-Agents
http://bio2rdf.org/drugbank:DB01199,Muscle-Relaxants
http://bio2rdf.org/drugbank:DB01199,Nicotinic-Antagonists
http://bio2rdf.org/drugbank:DB01116,Nicotinic-Antagonists
http://bio2rdf.org/drugbank:DB01116,Adjuvants
http://bio2rdf.org/drugbank:DB01116,Ganglionic-Blockers
http://bio2rdf.org/drugbank:DB01116,Antihypertensive-Agents
http://bio2rdf.org/drugbank:DB00483,Neuromuscular-Nondepolarizing-Agents
http://bio2rdf.org/drugbank:DB00483,Muscle-Relaxants
http://bio2rdf.org/drugbank:DB00483,Nicotinic-Antagonists
http://bio2rdf.org/drugbank:DB00728,Muscle-Relaxants
http://bio2rdf.org/drugbank:DB00565,Neuromuscular-Blocking-Agents
http://bio2rdf.org/drugbank:DB00563,Enzyme-Inhibitors
http://bio2rdf.org/drugbank:DB00563,Abortifacient-Agents
http://bio2rdf.org/drugbank:DB00563,Folic-Acid-Antagonists
http://bio2rdf.org/drugbank:DB00563,Antimetabolites
http://bio2rdf.org/drugbank:DB00563,Nucleic-Acid-Synthesis-Inhibitors
http://bio2rdf.org/drugbank:DB00563,Immunosuppressive-Agents
http://bio2rdf.org/drugbank:DB00563,Dermatologic-Agents
http://bio2rdf.org/drugbank:DB00563,Antirheumatic-Agents
http://bio2rdf.org/drugbank:DB00997,Antibiotics
http://bio2rdf.org/drugbank:DB00531,Immunosuppressive-Agents
http://bio2rdf.org/drugbank:DB00531,Mutagens
http://bio2rdf.org/drugbank:DB00531,Antirheumatic-Agents
http://bio2rdf.org/drugbank:DB00531,Antineoplastic-Agents
http://bio2rdf.org/drugbank:DB00531,Myeloablative-Agonists
http://bio2rdf.org/drugbank:DB00635,Antineoplastic-Agents
http://bio2rdf.org/drugbank:DB00635,Glucocorticoids
http://bio2rdf.org/drugbank:DB00635,Anti-Inflammatory-Agents
http://bio2rdf.org/drugbank:DB00970,Protein-Synthesis-Inhibitors
http://bio2rdf.org/drugbank:DB00970,Anti-Bacterial-Agents
http://bio2rdf.org/drugbank:DB00970,Antibiotics
http://bio2rdf.org/drugbank:DB00970,Nucleic-Acid-Synthesis-Inhibitors
http://bio2rdf.org/drugbank:DB00380,Cardiovascular-Agents
http://bio2rdf.org/drugbank:DB00380,Chelating-Agents
