name,common_name
http://bio2rdf.org/omim:101000,"NEUROFIBROMATOSIS, TYPE II; NF2"
http://bio2rdf.org/omim:101200,APERT SYNDROME
http://bio2rdf.org/omim:101400,SAETHRE-CHOTZEN SYNDROME; SCS
http://bio2rdf.org/omim:101600,PFEIFFER SYNDROME
http://bio2rdf.org/omim:102200,"PITUITARY ADENOMA, GROWTH HORMONE-SECRETING, 1; PAGH1"
http://bio2rdf.org/omim:102700,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY"
http://bio2rdf.org/omim:103050,ADENYLOSUCCINASE DEFICIENCY
http://bio2rdf.org/omim:103780,ALCOHOL DEPENDENCE
http://bio2rdf.org/omim:104300,ALZHEIMER DISEASE; AD
http://bio2rdf.org/omim:105120,"AMYLOIDOSIS, FINNISH TYPE"
http://bio2rdf.org/omim:105200,"AMYLOIDOSIS, FAMILIAL VISCERAL"
http://bio2rdf.org/omim:105210,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED"
http://bio2rdf.org/omim:105400,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1
http://bio2rdf.org/omim:106100,"ANGIOEDEMA, HEREDITARY, TYPE I; HAE1"
http://bio2rdf.org/omim:107300,"SERPIN PEPTIDASE INHIBITOR, CLADE C (ANTITHROMBIN), MEMBER 1; SERPINC1"
http://bio2rdf.org/omim:107730,APOLIPOPROTEIN B; APOB
http://bio2rdf.org/omim:108300,"STICKLER SYNDROME, TYPE I; STL1"
http://bio2rdf.org/omim:108500,"EPISODIC ATAXIA, TYPE 2; EA2"
http://bio2rdf.org/omim:109150,MACHADO-JOSEPH DISEASE; MJD
http://bio2rdf.org/omim:109350,GASTROESOPHAGEAL REFLUX; GER
http://bio2rdf.org/omim:109800,BLADDER CANCER
http://bio2rdf.org/omim:110800,"BLOOD GROUP, I SYSTEM; Ii"
http://bio2rdf.org/omim:113970,BURKITT LYMPHOMA; BL
http://bio2rdf.org/omim:114500,COLORECTAL CANCER; CRC
http://bio2rdf.org/omim:115000,CARDIAC ARRHYTHMIA
http://bio2rdf.org/omim:115150,CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1
http://bio2rdf.org/omim:115200,"CARDIOMYOPATHY, DILATED, 1A; CMD1A"
http://bio2rdf.org/omim:115430,CARPAL TUNNEL SYNDROME; CTS1
http://bio2rdf.org/omim:115700,"CATARACT 4, MULTIPLE TYPES; CTRCT4"
http://bio2rdf.org/omim:116150,
http://bio2rdf.org/omim:116200,"CATARACT 1, MULTIPLE TYPES; CTRCT1"
http://bio2rdf.org/omim:116600,"CATARACT 6, MULTIPLE TYPES"
http://bio2rdf.org/omim:116800,"CATARACT 5, MULTIPLE TYPES; CTRCT5"
http://bio2rdf.org/omim:117000,CENTRAL CORE DISEASE OF MUSCLE; CCD
http://bio2rdf.org/omim:117210,SPINOCEREBELLAR ATAXIA 31; SCA31
http://bio2rdf.org/omim:118200,"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B"
http://bio2rdf.org/omim:118210,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A1; CMT2A1"
http://bio2rdf.org/omim:118220,"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A; CMT1A"
http://bio2rdf.org/omim:118300,CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS
http://bio2rdf.org/omim:118800,PAROXYSMAL NONKINESIGENIC DYSKINESIA 1; PNKD1
http://bio2rdf.org/omim:119540,"CLEFT PALATE, ISOLATED; CPI"
http://bio2rdf.org/omim:120435,LYNCH SYNDROME I
http://bio2rdf.org/omim:120790,"COMPLEMENT COMPONENT 4, PARTIAL DEFICIENCY OF"
http://bio2rdf.org/omim:120970,CONE-ROD DYSTROPHY 2
http://bio2rdf.org/omim:121210,"FEBRILE SEIZURES, FAMILIAL, 1; FEB1"
http://bio2rdf.org/omim:121300,"COPROPORPHYRIA, HEREDITARY; HCP"
